user_id,date,session_id,value
12345,1/1/2005,1001,97
12346,1/2/2005,1002,53
12347,1/3/2005,1003,36
12348,1/4/2005,1004,11
12349,1/5/2005,1005,91
12350,1/6/2005,1006,18
12351,1/7/2005,1007,36
12352,1/8/2005,1008,96
12353,1/9/2005,1009,80
12354,1/10/2005,1010,45
12355,1/11/2005,1011,74
12356,1/12/2005,1012,0
12357,1/13/2005,1013,4
12358,1/14/2005,1014,63
12359,1/15/2005,1015,38
12360,1/16/2005,1016,74
12361,1/17/2005,1017,76
12362,1/18/2005,1018,22
12363,1/19/2005,1019,23
12364,1/20/2005,1020,72
12365,1/21/2005,1021,29
12366,1/22/2005,1022,93
12367,1/23/2005,1023,24
12368,1/24/2005,1024,39
12369,1/25/2005,1025,62
12370,1/26/2005,1026,75
12371,1/27/2005,1027,8
12372,1/28/2005,1028,27
12373,1/29/2005,1029,69
12374,1/30/2005,1030,59
12375,1/31/2005,1031,23
12376,2/1/2005,1032,24
12377,2/2/2005,1033,57
12378,2/3/2005,1034,100
12379,2/4/2005,1035,14
12380,2/5/2005,1036,59
12381,2/6/2005,1037,87
12382,2/7/2005,1038,94
12383,2/8/2005,1039,3
12384,2/9/2005,1040,86
12385,2/10/2005,1041,64
12386,2/11/2005,1042,75
12387,2/12/2005,1043,80
12388,2/13/2005,1044,19
12389,2/14/2005,1045,48
12390,2/15/2005,1046,89
12391,2/16/2005,1047,73
12392,2/17/2005,1048,20
12393,2/18/2005,1049,5
12394,2/19/2005,1050,59
12395,2/20/2005,1051,70
12396,2/21/2005,1052,57
12397,2/22/2005,1053,73
12398,2/23/2005,1054,94
12399,2/24/2005,1055,25
12400,2/25/2005,1056,94
12401,2/26/2005,1057,61
12402,2/27/2005,1058,24
12403,2/28/2005,1059,63
12404,3/1/2005,1060,73
12405,3/2/2005,1061,96
12406,3/3/2005,1062,32
12407,3/4/2005,1063,75
12408,3/5/2005,1064,33
12409,3/6/2005,1065,63
12410,3/7/2005,1066,65
12411,3/8/2005,1067,7
12412,3/9/2005,1068,52
12413,3/10/2005,1069,42
12414,3/11/2005,1070,41
12415,3/12/2005,1071,59
12416,3/13/2005,1072,39
12417,3/14/2005,1073,28
12418,3/15/2005,1074,65
12419,3/16/2005,1075,21
12420,3/17/2005,1076,59
12421,3/18/2005,1077,80
12422,3/19/2005,1078,90
12423,3/20/2005,1079,58
12424,3/21/2005,1080,67
12425,3/22/2005,1081,91
12426,3/23/2005,1082,10
12427,3/24/2005,1083,20
12428,3/25/2005,1084,50
12429,3/26/2005,1085,88
12430,3/27/2005,1086,46
12431,3/28/2005,1087,53
12432,3/29/2005,1088,100
12433,3/30/2005,1089,89
12434,3/31/2005,1090,70
12435,4/1/2005,1091,89
12436,4/2/2005,1092,58
12437,4/3/2005,1093,66
12438,4/4/2005,1094,72
12439,4/5/2005,1095,57
12440,4/6/2005,1096,4
12441,4/7/2005,1097,77
12442,4/8/2005,1098,74
12443,4/9/2005,1099,98
12444,4/10/2005,1100,17
12445,4/11/2005,1101,42
12446,4/12/2005,1102,25
12447,4/13/2005,1103,56
12448,4/14/2005,1104,80
12449,4/15/2005,1105,48
12450,4/16/2005,1106,85
12451,4/17/2005,1107,91
12452,4/18/2005,1108,29
12453,4/19/2005,1109,44
12454,4/20/2005,1110,79
12455,4/21/2005,1111,36
12456,4/22/2005,1112,28
12457,4/23/2005,1113,71
12458,4/24/2005,1114,18
12459,4/25/2005,1115,85
12460,4/26/2005,1116,25
12461,4/27/2005,1117,1
12462,4/28/2005,1118,33
12463,4/29/2005,1119,6
12464,4/30/2005,1120,46
12465,5/1/2005,1121,22
12466,5/2/2005,1122,16
12467,5/3/2005,1123,93
12468,5/4/2005,1124,14
12469,5/5/2005,1125,62
12470,5/6/2005,1126,24
12471,5/7/2005,1127,15
12472,5/8/2005,1128,77
12473,5/9/2005,1129,94
12474,5/10/2005,1130,77
12475,5/11/2005,1131,15
12476,5/12/2005,1132,51
12477,5/13/2005,1133,24
12478,5/14/2005,1134,85
12479,5/15/2005,1135,8
12480,5/16/2005,1136,94
12481,5/17/2005,1137,15
12482,5/18/2005,1138,24
12483,5/19/2005,1139,44
12484,5/20/2005,1140,83
12485,5/21/2005,1141,54
12486,5/22/2005,1142,6
12487,5/23/2005,1143,68
12488,5/24/2005,1144,38
12489,5/25/2005,1145,64
12490,5/26/2005,1146,61
12491,5/27/2005,1147,50
12492,5/28/2005,1148,13
12493,5/29/2005,1149,52
12494,5/30/2005,1150,55
12495,5/31/2005,1151,24
12496,6/1/2005,1152,93
12497,6/2/2005,1153,67
12498,6/3/2005,1154,49
12499,6/4/2005,1155,52
12500,6/5/2005,1156,40
12501,6/6/2005,1157,60
12502,6/7/2005,1158,57
12503,6/8/2005,1159,7
12504,6/9/2005,1160,100
12505,6/10/2005,1161,27
12506,6/11/2005,1162,38
12507,6/12/2005,1163,76
12508,6/13/2005,1164,83
12509,6/14/2005,1165,73
12510,6/15/2005,1166,47
12511,6/16/2005,1167,87
12512,6/17/2005,1168,34
12513,6/18/2005,1169,86
12514,6/19/2005,1170,67
12515,6/20/2005,1171,46
12516,6/21/2005,1172,95
12517,6/22/2005,1173,3
12518,6/23/2005,1174,24
12519,6/24/2005,1175,82
12520,6/25/2005,1176,26
12521,6/26/2005,1177,79
12522,6/27/2005,1178,34
12523,6/28/2005,1179,34
12524,6/29/2005,1180,68
12525,6/30/2005,1181,93
12526,7/1/2005,1182,68
12527,7/2/2005,1183,19
12528,7/3/2005,1184,54
12529,7/4/2005,1185,9
12530,7/5/2005,1186,19
12531,7/6/2005,1187,81
12532,7/7/2005,1188,41
12533,7/8/2005,1189,41
12534,7/9/2005,1190,71
12535,7/10/2005,1191,6
12536,7/11/2005,1192,37
12537,7/12/2005,1193,95
12538,7/13/2005,1194,42
12539,7/14/2005,1195,49
12540,7/15/2005,1196,59
12541,7/16/2005,1197,97
12542,7/17/2005,1198,43
12543,7/18/2005,1199,48
12544,7/19/2005,1200,29
12545,7/20/2005,1201,50
12546,7/21/2005,1202,1
12547,7/22/2005,1203,72
12548,7/23/2005,1204,23
12549,7/24/2005,1205,41
12550,7/25/2005,1206,32
12551,7/26/2005,1207,13
12552,7/27/2005,1208,99
12553,7/28/2005,1209,70
12554,7/29/2005,1210,61
12555,7/30/2005,1211,4
12556,7/31/2005,1212,8
12557,8/1/2005,1213,50
12558,8/2/2005,1214,89
12559,8/3/2005,1215,0
12560,8/4/2005,1216,87
12561,8/5/2005,1217,4
12562,8/6/2005,1218,53
12563,8/7/2005,1219,12
12564,8/8/2005,1220,44
12565,8/9/2005,1221,39
12566,8/10/2005,1222,40
12567,8/11/2005,1223,97
12568,8/12/2005,1224,84
12569,8/13/2005,1225,45
12570,8/14/2005,1226,50
12571,8/15/2005,1227,28
12572,8/16/2005,1228,23
12573,8/17/2005,1229,70
12574,8/18/2005,1230,57
12575,8/19/2005,1231,20
12576,8/20/2005,1232,42
12577,8/21/2005,1233,13
12578,8/22/2005,1234,0
12579,8/23/2005,1235,22
12580,8/24/2005,1236,32
12581,8/25/2005,1237,73
12582,8/26/2005,1238,7
12583,8/27/2005,1239,83
12584,8/28/2005,1240,74
12585,8/29/2005,1241,99
12586,8/30/2005,1242,14
12587,8/31/2005,1243,7
12588,9/1/2005,1244,9
12589,9/2/2005,1245,70
12590,9/3/2005,1246,24
12591,9/4/2005,1247,97
12592,9/5/2005,1248,3
12593,9/6/2005,1249,61
12594,9/7/2005,1250,64
12595,9/8/2005,1251,84
12596,9/9/2005,1252,55
12597,9/10/2005,1253,65
12598,9/11/2005,1254,28
12599,9/12/2005,1255,95
12600,9/13/2005,1256,26
12601,9/14/2005,1257,47
12602,9/15/2005,1258,36
12603,9/16/2005,1259,49
12604,9/17/2005,1260,15
12605,9/18/2005,1261,24
12606,9/19/2005,1262,0
12607,9/20/2005,1263,21
12608,9/21/2005,1264,82
12609,9/22/2005,1265,1
12610,9/23/2005,1266,79
12611,9/24/2005,1267,92
12612,9/25/2005,1268,41
12613,9/26/2005,1269,86
12614,9/27/2005,1270,22
12615,9/28/2005,1271,6
12616,9/29/2005,1272,94
12617,9/30/2005,1273,5
12618,10/1/2005,1274,85
12619,10/2/2005,1275,58
12620,10/3/2005,1276,97
12621,10/4/2005,1277,22
12622,10/5/2005,1278,69
12623,10/6/2005,1279,33
12624,10/7/2005,1280,57
12625,10/8/2005,1281,95
12626,10/9/2005,1282,33
12627,10/10/2005,1283,20
12628,10/11/2005,1284,93
12629,10/12/2005,1285,40
12630,10/13/2005,1286,80
12631,10/14/2005,1287,9
12632,10/15/2005,1288,74
12633,10/16/2005,1289,62
12634,10/17/2005,1290,9
12635,10/18/2005,1291,1
12636,10/19/2005,1292,64
12637,10/20/2005,1293,16
12638,10/21/2005,1294,43
12639,10/22/2005,1295,76
12640,10/23/2005,1296,9
12641,10/24/2005,1297,31
12642,10/25/2005,1298,93
12643,10/26/2005,1299,93
12644,10/27/2005,1300,56
12645,10/28/2005,1301,41
12646,10/29/2005,1302,62
12647,10/30/2005,1303,30
12648,10/31/2005,1304,14
12649,11/1/2005,1305,15
12650,11/2/2005,1306,73
12651,11/3/2005,1307,50
12652,11/4/2005,1308,28
12653,11/5/2005,1309,80
12654,11/6/2005,1310,66
12655,11/7/2005,1311,3
12656,11/8/2005,1312,32
12657,11/9/2005,1313,88
12658,11/10/2005,1314,73
12659,11/11/2005,1315,3
12660,11/12/2005,1316,52
12661,11/13/2005,1317,80
12662,11/14/2005,1318,10
12663,11/15/2005,1319,58
12664,11/16/2005,1320,24
12665,11/17/2005,1321,57
12666,11/18/2005,1322,17
12667,11/19/2005,1323,74
12668,11/20/2005,1324,74
12669,11/21/2005,1325,38
12670,11/22/2005,1326,74
12671,11/23/2005,1327,73
12672,11/24/2005,1328,27
12673,11/25/2005,1329,93
12674,11/26/2005,1330,38
12675,11/27/2005,1331,20
12676,11/28/2005,1332,69
12677,11/29/2005,1333,66
12678,11/30/2005,1334,42
12679,12/1/2005,1335,59
12680,12/2/2005,1336,3
12681,12/3/2005,1337,95
12682,12/4/2005,1338,76
12683,12/5/2005,1339,47
12684,12/6/2005,1340,5
12685,12/7/2005,1341,79
12686,12/8/2005,1342,69
12687,12/9/2005,1343,14
12688,12/10/2005,1344,50
12689,12/11/2005,1345,0
12690,12/12/2005,1346,79
12691,12/13/2005,1347,60
12692,12/14/2005,1348,52
12693,12/15/2005,1349,100
12694,12/16/2005,1350,13
12695,12/17/2005,1351,80
12696,12/18/2005,1352,0
12697,12/19/2005,1353,62
12698,12/20/2005,1354,54
12699,12/21/2005,1355,17
12700,12/22/2005,1356,26
12701,12/23/2005,1357,15
12702,12/24/2005,1358,46
12703,12/25/2005,1359,71
12704,12/26/2005,1360,75
12705,12/27/2005,1361,62
12706,12/28/2005,1362,33
12707,12/29/2005,1363,10
12708,12/30/2005,1364,63
12709,12/31/2005,1365,82
12710,1/1/2006,1366,60
